Institution Name,Institution Code,SS,FSR,FQE,FRU,OE,PU,QP,IPR,FPPP,GUE,GPHD,RD,WD,ESCS,PCS,PR,Year,Institute Name,Institute Code
Indian Institute of Science ,(IR-O-U-0220),10.46,25.0,18.34,15.33,10.0,35.0,35.0,13.0,8.48,50.6,27.63,21.91,9.21,7.27,20.0,100.0,20211,,
Indian Institute of Technology Bombay ,(IR-O-U-0306),17.0,24.33,19.52,9.67,13.0,30.47,31.93,15.0,10.4,55.83,25.03,20.23,14.86,4.38,18.0,91.96,20211,,
Indian Institute of Technology Delhi ,(IR-O-1-1074),17.0,24.65,18.61,11.77,12.0,31.17,32.23,11.0,10.06,52.94,22.13,25.31,18.67,3.99,20.0,93.89,20211,,
Indian Institute of Technology Kanpur ,(IR-O-1-1075),15.7,22.03,17.12,11.65,14.0,27.24,27.0,13.0,7.99,60.0,20.74,19.7,9.0,8.28,20.0,79.3,20211,,
Indian Institute of Technology Kharagpur ,(IR-O-U-0573),16.8,19.19,15.65,7.62,15.0,28.93,32.21,6.0,9.08,55.57,27.66,19.99,10.92,4.45,20.0,82.92,20211,,
Indian Institute of Technology Roorkee ,(IR-O-U-0560),16.51,21.42,16.24,8.51,14.0,28.16,29.25,5.0,5.97,60.0,23.16,24.86,13.64,6.81,20.0,47.28,20211,,
Indian Institute of Technology Guwahati ,(IR-O-U-0053),14.15,24.21,17.39,8.0,10.0,27.8,28.15,7.0,3.31,60.0,21.26,24.41,13.58,4.97,20.0,47.04,20211,,
Jawaharlal Nehru University ,(IR-O-U-0109),15.5,24.73,16.98,8.99,5.0,20.15,20.56,3.0,1.25,59.55,35.52,24.5,28.86,0.0,20.0,54.12,20211,,
Banaras Hindu University ,(IR-O-U-0500),20.0,18.56,14.88,7.06,4.0,18.18,23.64,1.0,2.17,60.0,40.0,9.61,24.23,3.28,16.0,49.38,20211,,
Calcutta University ,(IR-O-U-0570),17.52,24.21,16.02,4.95,3.5,15.86,18.04,6.0,4.03,60.0,31.72,3.98,30.0,7.0,20.0,39.68,20211,,
Amrita Vishwa Vidyapeetham,(IR-O-U-0436),17.39,25.0,15.66,6.18,0.0,19.82,18.37,11.0,5.14,59.4,11.95,16.14,28.12,1.28,20.0,34.8,20211,,
Jamia Millia Islamia,(IR-O-U-0108),16.0,25.0,16.01,6.44,3.0,16.6,19.93,3.0,3.9,60.0,26.67,17.4,26.59,8.36,20.0,20.25,20211,,
Jadavpur University ,(IR-O-U-0575),17.32,15.74,12.57,3.58,2.5,22.54,24.27,1.5,3.41,60.0,27.77,2.55,20.28,7.34,20.0,53.3,20211,,
Manipal Academy of Higher Education,(IR-O-U-0234),17.75,25.0,16.79,8.14,0.0,18.3,19.29,3.0,7.58,56.19,19.86,17.21,27.01,1.03,20.0,24.18,20211,,
Indian Institute of Technology Hyderabad ,(IR-O-U-0013),8.83,25.0,16.78,10.78,0.0,21.7,22.42,5.0,3.52,60.0,7.51,17.94,15.03,5.61,20.0,49.61,20211,,
University of Hyderabad ,(IR-O-U-0042),12.82,25.0,19.7,6.06,6.0,18.84,19.05,1.0,1.85,55.45,21.99,15.19,25.53,0.0,18.0,32.13,20211,,
Aligarh Muslim University ,(IR-O-U-0496),20.0,24.09,16.79,6.18,2.0,15.84,20.94,2.0,2.08,52.81,27.25,8.37,25.84,2.72,20.0,27.0,20211,,
University of Delhi ,(IR-O-U-0120),17.65,11.1,8.48,5.43,0.0,21.13,26.34,3.0,3.76,48.47,34.19,13.71,25.6,0.28,20.0,44.81,20211,,
