Institute Name,Institute Code,SS,FSR,FQE,FRU,PU,QP,IPR,FPPP,GUE,GPHD,RD,WD,ESCS,PCS,PR,Rank,Year,Institution Name,Institution Code,OE,Predicted_Rank
Indian Institute of Technology Patna,IR-2-O-OE-U-0064,6.84,29.82,17.09,14.06,13.48,10.67,0.5,0.77,48.84,4.03,17.77,8.78,3.38,20.0,7.17,69.0,2018,,,0.0,69.00431
Saveetha Institute of Medical and Technical Sciences,IR-2-O-OD-I-1441,13.0,25.0,16.13,11.28,10.98,4.73,0.0,2.96,60.0,0.34,11.29,28.22,4.4,20.0,3.17,70.0,2018,,,0.0,70.03951
University of Kashmir,IR-1-O-O-U-0196,14.8,23.51,14.77,9.31,7.18,11.33,0.0,1.57,60.0,17.61,0.01,27.69,0.29,9.0,0,71.0,2018,,,0.0,71.01123
Shiv Nadar University,IR-1-O-O-U-0642,7.0,30.0,17.25,14.96,4.82,7.45,0.0,0.28,60.0,0.17,21.04,23.63,6.52,20.0,0,72.0,2018,,,0.0,72.00339
Sri Sivasubramaniya Nadar College of Engineering,IR-1-O-E-C-16604,10.0,28.17,15.49,8.86,11.0,8.31,0.5,0.5,60.0,2.21,1.75,27.15,3.53,20.0,10.82,73.0,2018,,,0.0,73.00973
Sri Venkateswara University,IR-2-O-OE-U-0037,11.62,26.43,15.32,7.07,10.76,13.68,0.5,0.99,38.87,22.79,0.0,25.66,4.36,20.0,2.01,74.0,2018,,,0.0,74.01131
PSG Institute of Medical Sciences & Research,IR-1-O-D-C-45515,5.86,30.0,19.43,27.42,0.6,1.37,0.0,0.15,57.99,0.66,2.46,30.0,0.6,17.0,10.5,75.0,2018,,,0.0,75.00296
Chaudhary Charan Singh Haryana Agricultural UniversitY,IR-1-O-O-U-0159,8.54,30.0,16.7,23.06,2.84,2.75,1.5,0.94,52.41,12.65,1.59,27.33,3.11,9.0,2.01,76.0,2018,,,0.0,76.00399
University of Jammu,IR-3-O-OML-U-0195,12.09,27.32,16.43,9.38,6.22,11.88,0.5,0.29,55.6,13.87,0.05,30.0,0.39,9.0,1.24,77.0,2018,,,0.0,77.003075
National Institute of Technology Warangal,IR-2-O-OE-U-0025,12.5,19.33,12.85,11.5,10.77,10.75,0.5,0.71,60.0,7.06,18.23,13.24,3.25,20.0,6.11,78.0,2018,,,0.0,77.96108
Dr. D. Y. Patil Vidyapeeth,IR-2-O-OD-I-1110,9.7,30.0,19.3,17.38,3.69,4.3,0.0,0.27,52.25,4.49,12.32,30.0,0.59,20.0,1.22,79.0,2018,,,0.0,79.014694
Amity University,IR-6-O-OEMALP-U-0497,13.68,18.56,9.36,7.14,7.86,15.27,5.0,1.98,59.46,3.49,15.82,25.88,0.41,20.0,5.4,80.0,2018,,,0.0,80.01352
Madurai Kamraj University,IR-1-O-O-U-0463,7.77,30.0,15.62,8.19,12.71,14.83,0.0,0.5,36.75,13.11,1.13,23.99,0.0,20.0,16.18,81.0,2018,,,0.0,80.99432
SVKM`s Narsee Monjee Institute of Management Studies,IR-6-O-OEMAPC-N-10,13.48,25.64,12.21,13.97,2.27,4.62,0.0,5.71,60.0,3.9,14.98,27.49,0.22,20.0,0.81,82.0,2018,,,0.0,81.99543
Koneru Lakshmaiah Education Foundation University,IR-2-O-EM-U-0020,14.45,30.0,14.85,6.51,5.69,8.59,0.5,0.45,60.0,2.65,6.77,24.23,8.43,20.0,0,83.0,2018,,,0.0,83.01339
KLE Academy of Higher Education and Research,IR-1-O-O-U-0225,11.5,30.0,18.62,14.56,3.1,5.43,0.5,2.34,46.8,3.29,15.35,30.0,1.17,20.0,2.79,84.0,2018,,,0.0,83.99764
University of Agricultural Sciences,IR-1-O-O-U-0246,11.5,30.0,15.74,16.47,0.82,1.82,0.0,0.0,60.0,10.63,1.06,25.65,7.33,20.0,1.22,85.0,2018,,,0.0,84.99825
Guru Nanak Dev University,IR-1-O-O-U-0376,13.21,10.06,6.57,14.26,10.6,16.57,0.5,4.11,54.1,16.2,1.91,24.38,1.94,20.0,7.17,86.0,2018,,,0.0,85.99057
Pondicherry University,IR-3-O-OEM-U-0369,15.2,15.32,10.31,5.8,10.72,14.97,0.5,0.3,47.63,22.29,17.97,20.25,2.37,9.0,14.76,87.0,2018,,,0.0,86.99862
North Eastern Hill University,IR-1-O-O-U-0341,11.48,25.45,15.82,12.1,5.44,6.91,0.5,0.58,53.44,16.76,9.01,27.92,1.17,5.0,5.03,88.0,2018,,,0.0,87.99121
Sri Venkateswara Institute of Medical Sciences,IR-1-O-D-U-0036,6.54,30.0,19.03,21.53,1.38,1.56,0.0,0.07,58.55,6.09,1.59,30.0,4.76,17.0,0.41,89.0,2018,,,0.0,88.99466
Dayalbagh Educational Institute,IR-2-O-OE-U-0507,10.96,30.0,17.15,6.04,0.85,3.98,0.0,0.23,59.55,9.47,11.54,28.28,1.54,20.0,12.38,90.0,2018,,,0.0,89.99375
Banasthali Vidyapith,IR-4-O-OEMP-U-0389,15.66,16.74,9.68,5.0,4.12,8.46,0.5,1.08,60.0,22.05,21.92,30.0,2.71,12.0,4.3,91.0,2018,,,0.0,91.0058
Tamil Nadu Veterinary & Animal Sciences University,IR-1-O-O-U-0487,5.83,30.0,16.85,22.09,3.1,3.2,0.5,1.15,56.11,2.79,2.16,25.38,5.98,14.0,3.93,92.0,2018,,,0.0,92.00212
	Bharati Vidyapeeth,IR-1-O-O-I-1361,16.75,21.7,13.04,7.43,2.67,9.27,0.5,3.62,49.08,11.96,11.2,26.76,0.29,17.0,14.76,93.0,2018,,,0.0,92.99595
Bharathidasan University,IR-1-O-O-U-0448,6.28,24.47,15.01,11.25,13.62,14.51,0.5,0.58,33.9,11.55,0.48,23.52,1.45,9.0,26.3,94.0,2018,,,0.0,93.991234
Thiagarajar College of Engineering,IR-3-O-OEA-C-26794,11.5,25.82,14.33,5.45,7.71,8.51,2.5,1.46,60.0,1.91,0.24,28.37,4.33,14.0,14.46,95.0,2018,,,0.0,95.00281
College of Engineering,IR-1-O-E-C-41593,10.5,22.79,11.33,11.24,8.68,6.19,0.5,1.86,60.0,2.43,3.17,23.84,4.11,20.0,12.07,96.0,2018,,,0.0,95.99647
Mahatma Gandhi Medical College and Research Institute,IR-1-O-D-C-47762,5.5,30.0,17.09,19.84,2.37,2.78,0.0,0.32,49.65,0.5,19.12,28.33,2.21,20.0,2.4,97.0,2018,,,0.0,96.996704
Goa University,IR-1-O-O-U-0121,7.99,26.96,14.52,1.37,5.32,8.22,0.0,0.23,60.0,6.09,1.58,30.0,0.0,20.0,2.01,98.0,2018,,,0.0,97.972664
Cochin University of Science and Technology,IR-1-O-O-U-0253,9.65,18.59,11.83,7.66,13.22,10.03,0.5,0.6,52.85,10.08,0.87,24.25,2.07,17.0,18.88,99.0,2018,,,0.0,98.9893
